"txId","nom_complet","valeur_id","montant","devise","status","processedAt","mojaloop.transferId","mojaloop.errorDescription"
"tx-00001","Boris Avocè","3948329914",500,"XOF","SUCCESS","2025-12-05T08:44:28.488Z","01KBPTY68MYP7A0ZPBY12K6SNB",
"tx-00002","Malick Avocè","1061395480",100,"USD","SUCCESS","2025-12-05T08:44:30.179Z","01KBPTY7YJADVSX7Q57ST9K4QW",
"tx-00003","Chabi Tchibozo","7623502870",20000,"XOF","SUCCESS","2025-12-05T08:44:31.832Z","01KBPTY9K960F4XFEXV6GH1GCK",
"tx-00004","Judith Hounsa",,100,"XOF","FAILED","2025-12-05T08:44:31.845Z",,"{""message"":""must NOT have fewer than 1 characters"",""statusCode"":400}"
"tx-00005",,"0231397586",1000,"XOF","SUCCESS","2025-12-05T08:44:33.349Z","01KBPTYB7AMKMRMM1N6JY0MEPQ",
"tx-00006","Jacques Gandonou","9929404434",10000,"XOF","SUCCESS","2025-12-05T08:44:35.295Z","01KBPTYCPD9VR5V25NQV4PR5QW",
"tx-00007","Abdou Kpangon","8884191054X",20000,"XOF","SUCCESS","2025-12-05T08:44:36.881Z","01KBPTYEK4GD9CCV1JR2E99C3S",
"tx-00008","Donatien Fagbemi","812829241",5000,"XOF","SUCCESS","2025-12-05T08:44:38.575Z","01KBPTYG4QS1B9GPWGNPHD8XMH",
"tx-00009","Sylvie Lokossou","6934235077",500,"XOF","SUCCESS","2025-12-05T08:44:40.278Z","01KBPTYHSPCHV0E4ZFEH6GFWVS",
"tx-00010","Chabi Ahouansou","9368482395",100,"XOF","SUCCESS","2025-12-05T08:44:41.850Z","01KBPTYKEWT6SEW0PN5EJMPYQ7",
"tx-00011","Flora Adjovi","8128829241",,,"FAILED","2025-12-05T08:44:41.851Z",,"Cannot read properties of null (reading 'toString')"
"tx-00012","Catherine Yayi","1226998969",500,"XOF","SUCCESS","2025-12-05T08:44:43.664Z","01KBPTYN00FPMZVPZ9Y1TPAPVE",
"tx-00013","Catherine Talon","1226998969",,"500","FAILED","2025-12-05T08:44:43.665Z",,"Cannot read properties of null (reading 'toString')"
